song,artist,chords,date added,genre,lyrics,notes,times requested
"Scientist, The",Coldplay,not ready,,,,,1
Sweet Virginia,,not ready,,,,,1
Every Little Thing She Does is Magic,"Police, The",not ready,,,,,1
Temporary Like Achilles,,not ready,,,,,1
Seven Nation Army,"White Stripes, The",not ready,,,,,1
Paper Planes,MIA,not ready - use reason beat,,,,,1
Honey Bee,Blake Shelton,not ready,,,,,2
I Would Die For You,Prince,not ready,,,,,1
Listen to the Radio,Nanci Griffith,not ready,,,,,1
Someone Like You,Adele,"A/Ab   4x2220          practice part before 2nd chorus        
picked like this       
 
E-----0------0--------|                                
B---2--2---2--2-----|                               
G-2------2--------|                            
D-----------------|                    
                             
Intro  A(xxx220)  A/Ab(xxx120)  F#m(xx4x22)  D(xx0x32)
  A                     A/Ab                              F#m                                 D
I heard that you're settled down That you found a girl   And you're married now
I heard that your dreams came true guess she gave you things I didn't give to you
Old friend why are you so shy it ain't like you to hold back or hide from the light
  E                                  F#m                           D               
I hate to turn up out of the blue uninvited but  I couldn't stay away I couldn't fight it
    E                                                 F#m                                                
I'd hoped you'd see my face and that you'd be reminded that for 
| D    |     | Dmaj7 |      | D     |       | (6 bars)
  me it isn't o--    ver
Chorus
A                       E                 F#m       D
Never mind, I'll find someone like you
I wish nothing but the best for you too
Don't forget me I beg I re-member you said
Sometimes it lasts in love but sometimes it hurts in-stead
Sometimes it lasts in love but sometimes it hurts instead, yeah
A                     A/Ab                              F#m                                 D
 You'd know how time flies  Only yesterday was the time of our lives
We were born and raised In a summer haze Bound by the surprise of our glory days
  E                                  F#m                           D               
I hate to turn up out of the blue uninvited but  I couldn't stay away I couldn't fight it
    E                                                 F#m                                                
I'd hoped you'd see my face and that you'd be reminded that for
 |D(xx023x)|          |E(xx21x0)|             |F#m(xx42x2)|           | E(xx64x4)        |           | 
 me               it isn't o--          ver
A  E  F#m  D  CHORUS (last line only once)
E
Nothing compares no worries or cares
F#m
Regrets and mistakes their memories make
D
 Who would have known how
       Bm    C#m        D            E...
Bitter-sweet this would taste
A  E  F#m  D    CHORUS (last line once)
A  E  F#m  D    CHORUS AGAIN (last line x3)
",,,"I heard, that you're settled down, that you 
found a girl and you're married now
I heard, that you're dreams came true I guess she 
gave you things I didn't give to you
Old friend, why are you so shy 
ain't like you to hold back or hide from the light
I hate to turn up out of the blue uninvited but I couldn't stay away I couldn't fight it 
I had hoped you'd see my face and that you be reminded that for me it isn't over
Never mind I'll find someone like you 
I wish nothing but the best for you too
Don't forget me I beg, 
I'll remember you say
Sometimes it lasts in love but sometimes it hurts instead
Sometimes it lasts in love but sometimes it hurts instead yeah
You know how the time flies only 
yesterday it was the time of our lives
We were born and raised in a summer haze 
bound by the surprise of our glory days
I hate to turn up out of the blue uninvited but I couldn't stay away I couldn't fight it 
I had hoped you'd see my face and that you be reminded that for me it isn't over
Never mind I'll find someone like you 
I wish nothing but the best for you too
Don't forget me I beg, 
I'll remember you say
Sometimes it lasts in love but sometimes it hurts instead
Nothing compares no worries or cares
Regrets and mistakes their memories made
Who would have known how bittersweet
This would taste
Never mind I'll find someone like you 
I wish nothing but the best for you too
Don't forget me I beg, 
I'll remember you say
Sometimes it lasts in love but sometimes it hurts instead     x2
Sometimes it lasts in love but sometimes it hurts instead
",,5
Hey Jude,"Beatles, The",not ready,,,,,1
Your Song,Elton John,"Capo I
Intro:   D G A G
D                 G          A         F#m             Bm               Bm/A           Bm/G#      G
It s a little bit funny this feeling inside I'm not one of those who can easily hide 
D/A                           A            F#      Bm      D                  Em             G                     A
I don't have much money but, boy if I did  I'd buy a big house where, we both could live 
D                 G          A         F#m             Bm               Bm/A           Bm/G#      G
If I was a sculptor, but then again, no Or a man who makes potions in a traveling show 
D/A                           A            F#      Bm           D                  Em             G                     D
I know it's not much, but it's the best I can do  My gift is my song and, this one's for you 
CHORUS
A                       Bm             Em           G
And you can tell everybody, this is your song 
A              Bm                   Em              G
It may be quite simple but, now that it's done 
Bm                             Bm7/A                     Bm/G#                           G6(3x545x) 
I hope you don't mind, I hope you don t mind,  that I put down in words 
    D         Em             G             A
How wonderful life is, while you're in the world 
Interlude: D G A G
D            G         A              F#m
I sat on the roof and, kicked off the moss 
Bm                      Bm/A               Bm/G#           G
Well a few of the verses well, they've got me quite cross
D                              A             F#           Bm
But the sun's been quite kind, while I wrote this song 
D                    Em        G              A
It's for people like you, that keep it turned on 
     D          G            A              F#m
So excuse me forgetting but, these things I do 
    Bm                 Bm/A             Bm/G#          G
You see I've forgotten if they're, green or they're blue 
D           A         F#           Bm
Anyway, the thing is, what I really mean 
D             Em             G         D
Yours are the sweetest eyes, I've ever seen
CHORUS
Bm                             Bm7/A                     Bm/G#                           G6(3x545x) 
I hope you don't mind, I hope you don t mind,  that I put down in words 
              D         Em             G                   D        G    A   G     D
How wonderful life is, while you're in the world ",,,"(music intro)
It's a little bit funny this feeling inside
I'm not one of those who can easily hide
I don't have much money but if I did
I'd buy a big house where we both could live
If I was a sculptor, but then again, no
Or a man who makes potions in a traveling show
I know it's not much but it's the best I can do
My gift is my song and this one's for you
And you can tell everybody this is your song
It may be quite simple but now that it's done
I hope you don't mind
I hope you don't mind that I put down in words
How wonderful life is while you're in the world
(music intro again)
I sat on the roof and kicked off the moss
Well a few of the verses well they've got me quite cross
But the sun's been quite kind while I wrote this song
It's for people like you that keep it turned on
So excuse me forgetting but these things I do
You see I've forgotten if they're green or they're blue
Anyway the thing is what I really mean
Yours are the sweetest eyes I've ever seen
And you can tell everybody this is your song
It may be quite simple but now that it's done
I hope you don't mind
I hope you don't mind that I put down in words
How wonderful life is while you're in the world
I hope you don't mind
I hope you don't mind that I put down in words
How wonderful life is while you're in the world",,5
Lived in Bars,Cat Power,not ready,,,,,1
Tango Til They’re Sore,Tom Waits,not ready,,,,,1
Plush,Stone Temple Pilots,not ready,,,,,1
This,Darius Rucker,"not ready
Capo 2
Verse 1:
      D         A
Got a baby girl sleepin' in my bedroom
        Bm                  G
And her momma laughing in my arms
            D                    A
There's the sound of rain on the rooftop
        Bm             G
And the game's about to start
D                         A
I don't really know how I got here
        Bm              G
But I'm so glad that I did
         D                   A
And it's crazy to think that one little thing 
           Bm              G
Could have changed all of this
E                              G
Maybe it didn't turn out like I planned
Em                        G            A
Maybe that's why I'm such, such a lucky man
Chorus: 
Bm   G
Every stoplight I didn't make 
D              A
Every chance I did or I didn't take
Bm     G
All the nights I went too far
D       A
All the girls that broke my heart
Bm     G
All the doors that I had to close
D                A                 G
All the things I knew but I didn't know
      D             E      G
Thank God for all I missed
         A                    
Cause it led me here to this
D A Bm G
D A Bm A G
Verse 2:
         D                    A
Like the girl that I loved in high school
    Bm               G
Who said she could do better
       D                   A
Or the college I wanted to go to
       Bm      G
Till I got that letter
        D                            A
All the fights and the tears and the heartache
              Bm       G
I thought I'd never get through
        D               A
And the moment I almost gave up
    Bm            G
All led me here to you
  Em                           G
I didn't understand it way back when
    Em
But sittin' here right now
   G                 A
It all makes perfect sense
Chorus: 
Bm   G
Every stoplight I didn't make 
D              A
Every chance I did or I didn't take
Bm     G
All the nights I went too far
D       A
All the girls that broke my heart
Bm     G
All the doors that I had to close
D                A                 G
All the things I knew but I didn't know
      D             E      G
Thank God for all I missed
         A                    
Cause it led me here to this
D A Bm G (3x)
D A Bm A G
Bridge:
     Em                        G
Oh I cried when my momma passed away
    Em 
And now I got an angel
        G            A
Looking out for me today
   G              A
So nothing's a mistake
Chorus: 
Bm   G
Every stoplight I didn't make 
D              A
Every chance I did or I didn't take
Bm     G
All the nights I went too far
D       A
All the girls that broke my heart
Bm     G
All the doors that I had to close
D                A                 G
All the things I knew but I didn't know
      D             E      G
Thank God for all I missed
         A                    
Cause it led me here to this",,,"Got a baby girl sleeping in my bedroom 
And her mama laughing in my arms 
There's the sound of rain on the rooftop 
And the game's about to start
I don't really know how I got here 
But I'm sure glad that I did 
And it's crazy to think that one little thing 
Could've changed all of it
Maybe it didn't turn out like I planned 
Maybe that's why I'm such, such a lucky man
[Chorus]
For every stoplight I didn't make 
Every chance I did or I didn't take 
All the nights I went too far 
All the girls that broke my heart 
All the doors that I had to close 
All the things I knew but I didn't know 
Thank God for all I missed 
Cause it led me here to 
This
Like the girl that I loved in high school 
Who said she could do better 
Or that college I wanted to go to 
'Til I got that letter
All the fights and the tears and the heartache 
I thought I'd never get through 
And the moment I almost gave up 
All lead me here to you
I didn't understand it way back when 
But sitting here right now it all makes perfect sense
[Repeat Chorus]
How I cried when my mama passed away 
But now I've got an angel looking out for me today 
So nothing's a mistake
[Repeat Chorus]
It led me here to 
This",,3
Nothing Can Change,Sam Cooke,not ready,,,,,1
Black Cab,Jens Lekman,not ready,,,,,1
Alison,Elvis Costello,"not ready
Alison by Elvis Costello     Tabbed by Pinky
Intro    A  E
            A                           E
Oh its so funny to be seeing you after so long girl
 A                                      Abm            C#m
And by the way you look i understand that you were not impressed
 A                                Abm      C#m 
But i heard you let that little friend of mine
 D                   B7sus4  B7
Take off your party dress
 A                 Abm    C#m              
I'm not gonna get too sentimental 
            A                Abm  C#m
Like those other sticky valentines
  A                              Abm       C#m
Cause i don't know if you were loving somebody 
 D                        B7sus4  B7
I only know it isn't mine
A     E  A           B        Abm    C#m
Alison i know this world is killing you 
A        E   A    B      E
Oh Alison     my aim is true
        A                 E   
Well i see you've got a husband now
        A                              Abm             C#m
Did he leave your pretty fingers lying in the wedding cake
     A                     Abm      C#m 
You used to hold him right in your hand
        D                      B7sus4  B7
But he took all that he could take
  A                            Abm            C#m       
Sometimes i wish that i could stop you from talking
        A                 Abm            C#m  
When i hear those silly things that you say         
    A                   Abm              C#m 
I think somebody better put out the big light 
             D                           B7sus4   B7
(Be)cause i can't stand to see you this way
A     E   A          B      Abm     C#m
Alison i know this world is killing you
   A     E A    B       E
Oh Alison   my aim is true
A          E          A        E
my aim is true,    My aim is true     (To fade)",,,"Oh, it's so funny to be seeing you after so long, girl
And with the way you look, I understand that you were not impressed
But I heard you let that little friend of mine
Take off your party dress
I'm not gonna get too sentimental
Like those other sticky valentines
'Cause I don't know if you are loving somebody
I only know it isn't mine
Allison, I know this world is killing you
Oh, Allison, my aim is true
Well, I see you've got a husband now
Did he leave your pretty fingers lying in the wedding cake?
You used to hold him right in your hand
But it took all that he could take
Sometimes I wish that I could stop you from talking
When I hear the silly things that you say
I think somebody better put out the big light
'Cause I can't stand to see you this way
Allison, I know this world is killing you
Oh, Allison, 
my aim is true     x12
",,1
Afraid of Everyone,"National, The","Capo 1st fret
whole song:
x022
x320
x332
xx02
Then I'm radio and then I'm television
I'm afraid of everyone, I'm afraid of everyone
Lay the young blue bodies with the old red bodies
I'm afraid of everyone, I'm afraid of everyone
With my kid on my shoulders I try
Not to hurt anybody I like
But I don't have the drugs to sort,
I don't have the drugs to sort it out... sort it out
I defend my family with my orange umbrella
I'm afraid of everyone, I'm afraid of everyone
With my shiny new star spangled tennis shoes on
I'm afraid of everyone, I'm afraid of everyone
With my kid on my shoulders I try
Not to hurt anybody I like
But I don't have the drugs to sort, 
I don't have the drugs to sort it out... sort it out
I don't have the drugs to sort it out... sort it out
Your voice has stolen my soul, soul, soul (REPEAT many times)",,,"Then I'm radio and then I'm television
I'm afraid of everyone, I'm afraid of everyone
Lay the young blue bodies with the old red bodies
I'm afraid of everyone, I'm afraid of everyone
With my kid on my shoulders I try
Not to hurt anybody I like
But I don't have the drugs to sort,
I don't have the drugs to sort it out... sort it out
I defend my family with my orange umbrella
I'm afraid of everyone, I'm afraid of everyone
With my shiny new star spangled tennis shoes on
I'm afraid of everyone, I'm afraid of everyone
With my kid on my shoulders I try
Not to hurt anybody I like
But I don't have the drugs to sort, 
I don't have the drugs to sort it out... sort it out
I don't have the drugs to sort it out... sort it out
Your voice has stolen my soul, soul, soul (REPEAT)
",,1
Start A War,"National, The","detune guitar to: EG#EG#BE   CAPO 9th fret
----0----0-------0-----0-----0-------0------0--
----0----0-------0-----0-----0-------0------0---
--0----0-------1-----0-----1------1-------0-----
0----0-------2-----0-----0--------0-------0----
------5-------3-----0-----1------1-------0----
-----------------------------------2-------0---
walk away now part:    (repeats twice, 2nd time there’s no singing)
--------------------------1-----1-----0-----
0----0-2-2---0-------0-----0-----0-------
5----5-5-3---0-------1-----1-----0-----
---------------------------------2-----0---
build: back and forth between 010100  and 000000
We expected something better than before We expected something more 
Do you really think you can just put it in a safe behind a painting, lock it up and leave? 
Do you really think you can just put it in a safe behind a painting, lock it up and leave? 
Walk away now and you're gonna start a war 
build:
Whatever went away, I’ll get it over now  I’ll get money, I’ll get funny again x2 
Walk away now and you're gonna start a war 
build:
We expected something better than before We expected something more 
You were always weird but I never had to hold you by the edges, like I do now  x2
Walk away now and you're gonna start a war 
build:
Whatever went away, I’ll get it over now  I’ll get money, I’ll get funny again x2 
Walk away now and you're gonna start a war
Walk away now and you're gonna start a war
jam it out for a bit...
then end soft, like intro",,,"We expected something, something better than before 
We expected something more 
Do you really think you can just put it in a safe 
Behind a painting, lock it up and leave? 
Do you really think you can just put it in a safe 
Behind a painting, lock it up and leave? 
Walk away now and you're gonna start a war 
Whatever went away, I’ll get it over now 
I’ll get money, I’ll get funny again 
Whatever went away, I’ll get it over now 
I’ll get money, I’ll get funny again 
Walk away now and you're gonna start a war 
We expected something, something better than before 
We expected something more 
You were always weird but I never had to hold you by the edges, like I do now 
We were always weird but I never had to hold you by the edges, like I do now 
Walk away now and you're gonna start a war 
Whatever went away, I’ll get it over now 
I’ll get money, I’ll get funny again 
Whatever went away, I’ll get it over now 
I’ll get money, I’ll get funny again 
Walk away now and you're gonna start a war
Walk away now and you're gonna start a war
(guitar jams out for a bit...)",,2
Somebody That I Used to Know,Gotye,"Bm A6                           
Now and then I think of when we were together
Like when you said you felt so happy you could die
Told myself that you were right for me but felt so lonely in your company
But that was love and it's an ache I still remember
--------2-2-3-5-2-0--------------------------
---0-0-----------------------3-3-2-2-0-0------
----------------------------------------------2---
You can get addicted to a certain kind of sadness
Like resignation to the end, always the end
So when we found that we could not make sense
Well you said that we would still be friends
But I'll admit that I was glad that it was over
Bm A G A
But you didn't have to cut me off
Make out like it never happened and that we were nothing 
And I don't even need your love
But you treat me like a stranger and that feels so rough
No you didn't have to stoop so low
Have your friends collect your records and then change your number
I guess that I don't need that though
Now you're just somebody that I used to know
--------2-2-3-5-2-0--------------------------
---0-0-----------------------3-3-2-2-0-0------
----------------------------------------------2---
Now you're just somebody that I used to know
Now you're just somebody that I used to know
Now and then I think of all the times you screwed me over
But had me believing it was always something that I'd done
A AA ...A A ( x02225 - x02222 - A )
And I don't wanna live that way Reading into every word you say
You said that you could let it go
And I wouldn't catch you hung up on somebody that you used to know
But you didn't have to cut me off make out like it never happened and that we were nothing and I don't even need your love but you treat me like a stranger and that feels so rough... No you didn't have to stoop so low Have your friends collect your records and then change your number I guess that I don't need that though
Now you're just somebody that I used to know
(Somebody) I used to know
(Somebody) Now you're just somebody that I used to know
(Somebody) I used to know
(Somebody) Now you're just somebody that I used to know
I used to know, that I used to know, I used to know  (w/ harmony)
somebodyyyyyy",,,"Now and then I think of when we were together
Like when you said you felt so happy you could die
Told myself that you were right for me but felt so lonely in your company
But that was love and it's an ache I still remember
(gtr plays xylophone theme)
You can get addicted to a certain kind of sadness
Like resignation to the end, always the end
So when we found that we could not make sense
Well you said that we would still be friends
But I'll admit that I was glad that it was over
But you didn't have to cut me off
Make out like it never happened and that we were nothing 
And I don't even need your love
But you treat me like a stranger and that feels so rough
No you didn't have to stoop so low
Have your friends collect your records and then change your number
I guess that I don't need that though
Now you're just somebody that I used to know (xylophone theme)
Now you're just somebody that I used to know (xylophone theme)
Now you're just somebody that I used to know
Now and then I think of all the times you screwed me over
But had me believing it was always something that I'd done
And I don't wanna live that way
Reading into every word you say
You said that you could let it go and I 
Wouldn't catch you hung up on somebody that you used to know
But you didn't have to cut me off
Make out like it never happened and that we were nothing 
And I don't even need your love
But you treat me like a stranger and that feels so rough
No you didn't have to stoop so low
Have your friends collect your records and then change your number
I guess that I don't need that though
Now you're just somebody that I used to know
Somebody, I used to know
(Somebody) Now you're just somebody that I used to know
Somebody, I used to know
(Somebody) Now you're just somebody that I used to know
I used to know... that I used to know... I used to know 
somebodyyyyy...",,3
Regulate,Warren G,"Reason: regulate 93 bpm
detune top two strings. E A D G E G
-0-----------------------------0-2-0----------------------------------0----
-0-----------------------------0-2-0----------------------------------0---
---------------------------------------------------------9-7-4-2-0---------
--------------0-2----------------------------------------------------2-----
----------------------------------2-3------3-3----------------------2------
-0----0-0-------------0--0--0------------------------8-7-3-2------0----
It was a clear black night, a clear white moon
Just hit the eastside of the L.B.C.
So I hooks a left on two -one and Lewis
Since these girls peepin me i'ma glide and swerve
I'm gettin jacked, I'm breakin myself
They got my homey hemmed up and they all around
They got guns to my head I think I'm going down
Sixteen in the clip and one in the hole     
(wait...)
I laid all them busters down I let my gat explode
now Nate got the freaks and that's a known fact
Just like I thought they were in the same spot 
the next stop is the east si.......de motellllllllll
(wait...)
I'm tweaking... into a whole new era
If you know like I know you don't wanna step to this
it's the G-Funk era funked out with a gangster twist
if you smoke like I smoke then you high like everyday
and if your ass is a buster 213 will regulate ",,,"It was a clear black night, a clear white moon
Warren G. was on the streets, trying to consume
some skirts for the eve, so i can get some funk
just rollin' in my ride, chillin all alone
Just hit the eastside of the L.B.C.
on a mission trying to find Mr. Warren G.
Seen a car full of girls ain't no need to tweak
all you skirts know what's up with 213
So I hooks a left on two -one and Lewis
some brothas shootin dice so i said ""let's do this""
I jumped out the ride, and said ""what's up?""
some brothas pulled some gats so i said ""i'm stuck""
Since these girls peepin me i'ma glide and swerve
these hookers lookin so hard they straight hit the curb
gonna think of better things than some horny tricks
i see my homey and some suckers all in his mix
I'm gettin jacked, I'm breakin myself
I can't believe they're taking Warren's wealth
they took my rings, they took my rolex
I looked at the brothas said ""damn, what's next?""
They got my homey hemmed up and they all around
ain't none of them seeing if they going straight pound for pound
They wanna come up real quick before they start to clown
i best pull out my strap and lay them busters down
They got guns to my head I think I'm going down
I can't believe this happened in my home town
If I had wings I would fly let me contemplate
I glanced in the cut and I see my homey Nate
Sixteen in the clip and one in the hole
Nate Dogg is about to make some bodies turn cold
now they droppin and yellin it's a tad bit late
Nate Dogg and Warren G. had to regulate         
(wait...)
I laid all them busters down I let my gat explode
now I'm switching my mind back into freak mode
if you want skirts sit back and observe
I just left a gang of those over there on the curb
now Nate got the freaks and that's a known fact
before i got jacked I was on the same track
back up back up cuz it's on, N-A-T-
E and me the Warren to the G
",,3
Snail Shell,They Might Be Giants,"INTRO LICK distorted power chords:  110 bpm snail shell (Reason)
A-----------3----------------3-----------5-3--------7-5-3-5-3------------3-------5-3---
E---0-3-5---5----0-3-5-----3-5---------------------------------3-5-5-----3-5----------
Tacit:
Sir hand or is it ma'am I fell out of my right place again
And you considered me and now I'm where a snail has to be
Am  - x6754x
I want to thank you for putting me back in my snail shell
I want to thank you for putting me back in my snail shell
    
           AmAm                            BmBm          CC            DD
Was it something you would do for anybody? Was it what you'd only 
EmEm        F#mF#m             GG                     G#dim
do for me?               I need to know because you see
              Am                   C             D                 Em    Em (022003)
I want to thank you for putting me back in my snail shell
Tacit                                     Am  Tacit                                            Em
Friend Look what you gave          And how can you ever be repaid?
Tacit      Am                                    E F E F E F E F E F E F E F E
How may      I give you a hand       From the position at your feet where I stand?
Am  - x6754x
So let me thank you for putting me back in my snail shell
I'd like to thank you for putting me back in my snail shell
           AmAm                            BmBm          CC            DD
Was it something you would do for anybody? Was it what you'd only 
EmEm        F#mF#m             GG                     G#dim
do for me?               I need to know because you see
              Am                   C             D                 Em    Em (022003)
I want to thank you for putting me back in my snail shell
G      Am            C        Am          Bm     C            Em    Am
Snail Shell        Thank you          Snail Shell         Thank you
GA-AAAA-AG-AAAAAAG-AAAAAGA (bass line) x4
         Ah....         Ah....           Ah....
INTRO LICK
           AmAm                            BmBm          CC            DD
Was it something you would do for anybody? Was it what you'd only 
EmEm        F#mF#m             GG                     G#dim
do for me?              Or was it something where you acted when you 
 AmAm           BmBm                 CC                  DD
saw the need       And knew that there would be a way the act could 
EmEm        F#mF#m             GG                     G#dim
be repaid               And so it may, but for today
              Am                   C             D                 Em    Em (022003)                Am Am(END)
I want to thank you for putting me back in my snail shell",,,"(gtr intro)
Sir hand Or is it ma'am
I fell out of my right place again
And you Considered me
And now I'm where a snail has to be
I want to thank you for putting me back in my snail shell
I want to thank you for putting me back in my snail shell
Was it something you would do for anybody?
Was it what you'd only do for me?
I need to know because you see
I want to thank you for putting me back in my snail shell
Friend Look what you gave
And how can you ever be repaid?
How may I give you a hand
From the position at your feet where I stand?
So let me thank you for putting me back in my snail shell
I'd like to thank you for putting me back in my snail shell
Was it something you would do for anybody?
Was it what you'd only do for me?
I need to know because you see
I want to thank you for putting me back in my snail shell
Snail Shell
Thank you
Snail Shell
Thank you
(gtr riff)   Ah....       Ah....           Ah....
(gtr intro)
Was it something you would do for anybody?
Was it what you'd only do for me?
Or was it something where you acted when you saw the need
And knew that there would be a way the act could be repaid
And so it may, but for today
I want to thank you for putting me back in my snail shell ",,1
You Must Be Out of Your Mind,"Magnetic Fields, The","intro:
F	C	Bb	             F     
F	C	Bb9 (x13311)  F
Verse 1:
F                Bb         C           F         F      C    Bb9    F 
you think I'll run not walk to you    (just gtr)
F                 Bb      C             F      
why would I want to talk to you 
Gm		         Bb                 F		C
I want you crawling back to me down on your knees yeah 
Gm	          Bb             Bb9	  C
like an appendectomy   sans anaesthesia 
Chorus:
                     F             C             Bb        Bb    F                   C        Bb           F
(if you think) you can leave the past behind    you must be out of your mind 
                       F            C           Bb        Bb     F                    C       Bb             Bb9
(if you think )you can simply press rewind      you must be out of your mind, son 
F                 C          Bb        F
you must be out of your mind
intro
 
Verse 2
Chorus
Intro
Verse 3
Last Chorus:
                     F             C             Bb        Bb    F                   C        Bb           F
(if you think) you can leave the past behind    you must be out of your mind 
                       F            C           Bb        Bb     F                    C       Bb             Bb9
(if you think )you can simply press rewind      you must be out of your mind, son 
F                 C          Bb        F
you must be out of your mind
F                  C           Bb       Bb9
you must be out of your mind, son
F           C               Bb           F
you must be out of your mind.",,,"You think I'll run, not walk, to you
(guitar)
Why would I want to talk to you?
I want you crawling back to me
Down on your knees, yeah
Like an appendectomy
Sans anesthesia
You think you can leave the past behind
You must be out of your mind
If you think you can simply press rewind
You must be out of your mind, son
You must be out of your mind
You want what you turned off turned on
(guitar)
You call it sunset, now it's dawn
You can't go round just saying stuff 
Because it's pretty
And I no longer drink enough 
To think you're witty...
You want to kindle that old flame
(guitar)
I don't remember your real name
It must be something scandalous
Lurks in your shallows
If you needed Santa Claus
To buy your gallows...
You think you can leave the past behind
You must be out of your mind
If you think you can simply press rewind
You must be out of your mind, son
You must be out of your mind",,2
Regulate p.2,Warren G,not ready (placeholder),,,"
Just like I thought they were in the same spot 
in need of some desperate hel....p
the Nate Dogg and the G-child were in 
need of something el.....se
one of them dames was sexy as hell I said 
""ooh-oh i like your style""
she said ""my car's broke down and you seem real nice,"" 
""would you let me ride?""
I got a car full of girls and it's going real swellllllllll
the next stop is the east si.......de motellllllllll
(wait...)
I'm tweaking... into a whole new era
G-Funk step to this... I dare ya
funk.... on a whole new level
the rhythm is the base and the base is the treble
chords. strings.
we brings. melody.
G-Funk ...where rhythm is life and life is rhythm
If you know like I know you don't wanna step to this
it's the G-Funk era funked out with a gangster twist
if you smoke like I smoke then you high like everyday
and if your ass is a buster 213 will regulate ",,
We Are Young,Fun,"F                                
Give me a second I, I need to get my story straight
    Dm
My friends are in the bathroom getting higher than the empire state
     Gm
my lover she's waiting for me just across the bar, my seats been 
Bb                                       C
taken by some sunglasses asking 'bout a scar and
F                            Dm                    Gm                Bb  C
I know.. (verse 2)
(out of time:)
                      Gm                 Am                     Dm        C         Bb
 so if by the   time    the bar closes and you    feel like falling down
     Bb                C 
I'll carry   you home
F                           Dm
Tonight....  We are young...   
                                         Bb                                                       C
So let's set the world on fire, we can burn brighter than the sun    x2
F - Now I know that I'm not... all that you got
Dm  -  I guess that I, I just thought maybe we could find a ways to fall apart
Gm - But our friends are back so let's raise a cup
Bb - Cause I’ve found someone to - C - carry me home
CHORUS x2
F                      Bb                    F                        C
(na na.  na na na na   )
Carry me home tonight  Just carry me home tonight  
Carry me home tonight  Just carry me home tonight  
The world is on my side I have no reason to run
So will someone come and carry me home tonight
The angels never arrived but I can hear the choir
so will someone come and carry me home
CHORUS x2
                      Gm                 Am                     Dm        C         Bb
 so if by the   time    the bar closes and you    feel like falling down
     Bb                C       F
I'll carry   you home tonight",,,"Give me a second I, I need to get my story straight
My friends are in the bathroom getting higher than the empire state
my lover she's waiting for me just across the bar, my seats been 
taken by some sunglasses asking 'bout a scar and
I know I gave it to you months ago
I know you're trying to forget
but between the drinks and subtle things
the holes in my apologies, you know 
I'm trying hard to take it back, so if by the 
time 
the bar closes and you 
feel like falling down
I'll carry 
you home
Tonight....  We are young...  
So let's set the world on fire, we can burn brighter than the sun    x2
Now I know that I'm not all that you got
I guess that I, I just thought maybe we could find a ways to fall apart
But our friends are back so let's raise a cup
Cause I’ve found someone to carry me home
CHORUS x2
(na na na na na’s start)
Carry me home tonight  Just carry me home tonight  
Carry me home tonight  Just carry me home tonight  
The world is on my side
I have no reason to run
So will someone come and carry me home tonight
The angels never arrived
but I can hear the choir
so will someone come and carry me home
CHORUS x2
So if by the time the bar closes
and you feel like falling down
I'll carry you home tonight",,
Tighten Up,Black Keys,"not ready
Capo 2
Intro: 
     Em    Gmaj7   Am     B
e|---7-7----2-2----5-5----------|
B|---8-8----3-3----5-5----4-4---|
G|---9-9----4-4----5-5----4-4---|
D|------------------------4-4---|
A|------------------------------|
E|------------------------------|
  Em             G            Am           B
I wanted love, I needed love, most of all, most of all
Em                 G                      Am             B
Someone said, true love was dead, and I'm bound to fall, bound to fall, for you
Em   G               Am       B
       Oh what can I do, yeah
Em                   G              Am          B
Take my badge but my heart remains, lovin' you, baby child
Em          G                      Am            B                  Em
Tighten up, on your reigns, you're runnin' wild, runnin' wild, it's true
Em Bm Em Bm
Em Bm G  A
Em             G                 Am              B
Sick for days, so many ways, I'm achin' now, I'm achin' now
     Em                 G                   Am              B
It's times like these I need relief, please show me how, oh show me how, to get right
Em  G            Am      B
     Yes, out of sight
     Em               G                    Am              B
When I was young, and moving fast, nothing slowed me down, slowed me down
Em            G                 Am              B                    Em
Now I let the others pass, I've come around, oh come around, cause I found
Em Bm Em Bm
Em Bm G  A
x2
Em             Bm          Em            Bm 
Living just to keep going, going just to be sane
Em            Bm            G   A  
All the while I know where,    such a shame
Em                  Bm       Em              Bm           
I don't need to get steady I know just how I feel
                       Bm    G      A
I'm telling you to get ready,    My dear
Em Bm Em Bm
Em Bm G  A",,,"I wanted love, I needed love
Most of all, most of all
Someone said ""True Love"" was dead
And I'm bound to fall
Bound to fall for you
Oh, what can I do?
Take my badge, but my heart remains
Loving you, baby, child
Tighten up on your reins, you're running wild
It's true
Sick for days
So many ways
I'm aching now, I'm aching now
It's times like these, I need relief
Please show me how, show me how
To get right
Yes, out of sight
When I was young and moving fast
Nothing slowed me down, slowed me down
Now I let the others pass
I've come around, come around
Because I found
Living just to keep going
Going just to be sane
All the while I know
It's such a shame
I don't need to get steady
I know just how I feel
Telling you to be ready, my dear
Read more at http://www.songmeanings.net/songs/view/3530822107858821618/#dkGsP13ooFtjBxpv.99 ",,1
street spirit,radiohead,not ready,,,,,2
Hard Day’s Night,Beatles,not ready,,,,,1
Angel Eyes,Jeff Healey,not ready,,,,,1
Gold Lion,"Yeah Yeah Yeahs, The",not ready,,,,,1
